genres_1,genres_2,budget,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,popularity,production_companies,revenue,runtime,title,vote_average,vote_count
Action,Adventure,237000000,cultureclash,future,spacewar,spacecolony,society,spacetravel,150.437577,Ingenious Film Partners,2787965087,162,Avatar,7.2,11800
Adventure,Fantasy,300000000,ocean,drugabuse,exoticisland,eastindiatradingcompany,loveofone'slife,traitor,139.082615,Walt Disney Pictures,961000000,169,Pirates of the Caribbean: At World's End,6.9,4500
Action,Adventure,245000000,spy,basedonnovel,secretagent,sequel,mi6,britishsecretservice,107.376788,Columbia Pictures,880674609,148,Spectre,6.3,4466
Action,Crime,250000000,dccomics,crimefighter,terrorist,secretidentity,burglar,hostagedrama,112.31295,Legendary Pictures,1084939099,165,The Dark Knight Rises,7.6,9106
Action,Adventure,260000000,basedonnovel,mars,medallion,spacetravel,princess,alien,43.926995,Walt Disney Pictures,284139100,132,John Carter,6.1,2124
Fantasy,Action,258000000,dualidentity,amnesia,sandstorm,loveofone'slife,forgiveness,spider,115.699814,Columbia Pictures,890871626,139,Spider-Man 3,5.9,3576
Animation,Family,260000000,hostage,magic,horse,fairytale,musical,princess,48.681969,Walt Disney Pictures,591794936,100,Tangled,7.4,3330
Action,Adventure,280000000,marvelcomic,sequel,superhero,basedoncomicbook,vision,superheroteam,134.279229,Marvel Studios,1405403694,141,Avengers: Age of Ultron,7.3,6767
Adventure,Fantasy,250000000,witch,magic,broom,schoolofwitchcraft,wizardry,apparition,98.885637,Warner Bros.,933959197,153,Harry Potter and the Half-Blood Prince,7.4,5293
Action,Adventure,250000000,dccomics,vigilante,superhero,basedoncomicbook,revenge,superpowers,155.790452,DC Comics,873260194,151,Batman v Superman: Dawn of Justice,5.7,7004
Adventure,Fantasy,270000000,savingtheworld,dccomics,invulnerability,sequel,superhero,basedoncomicbook,57.925623,DC Comics,391081192,154,Superman Returns,5.4,1400
Adventure,Action,200000000,killing,undercover,secretagent,britishsecretservice,,,107.928811,Eon Productions,586090727,106,Quantum of Solace,6.1,2965
Adventure,Fantasy,200000000,witch,fortuneteller,bondage,exoticisland,monster,captain,145.847379,Walt Disney Pictures,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,7,5246
Action,Adventure,255000000,texas,horse,survivor,texasranger,partner,outlaw,49.046956,Walt Disney Pictures,89289910,149,The Lone Ranger,5.9,2311
Action,Adventure,225000000,savingtheworld,dccomics,superhero,basedoncomicbook,superhuman,alieninvasion,99.398009,Legendary Pictures,662845518,143,Man of Steel,6.5,6359
Adventure,Family,225000000,basedonnovel,fictionalplace,brothersisterrelationship,lion,humanbeing,wretch,53.978602,Walt Disney,419651413,150,The Chronicles of Narnia: Prince Caspian,6.3,1630
Science Fiction,Action,220000000,newyork,shield,marvelcomic,superhero,basedoncomicbook,alieninvasion,144.448633,Paramount Pictures,1519557910,143,The Avengers,7.4,11776
Adventure,Action,380000000,sea,captain,mutiny,sword,primeminister,sailing,135.413856,Walt Disney Pictures,1045713802,136,Pirates of the Caribbean: On Stranger Tides,6.4,4948
Action,Comedy,225000000,timetravel,timemachine,alien,fictionalgovernmentagency,seeingthefuture,changinghistory,52.035179,Amblin Entertainment,624026776,106,Men in Black 3,6.2,4160
Action,Adventure,250000000,corruption,elves,dwarves,orcs,middle-earth(tolkien),hobbit,120.965743,WingNut Films,956019788,144,The Hobbit: The Battle of the Five Armies,7.1,4760
Action,Adventure,215000000,lossoffather,vigilante,serum,marvelcomic,scientificexperiment,spiderbite,89.866276,Columbia Pictures,752215857,136,The Amazing Spider-Man,6.5,6586
Action,Adventure,200000000,robinhood,archer,knight,sherwoodforest,bowandarrow,middleages,37.668301,Imagine Entertainment,310669540,140,Robin Hood,6.2,1398
Adventure,Fantasy,250000000,elves,dwarves,orcs,hobbit,dragon,wizard,94.370564,WingNut Films,958400000,161,The Hobbit: The Desolation of Smaug,7.6,4524
Adventure,Fantasy,180000000,england,compass,experiment,lordship,uncle,polarbear,42.990906,New Line Cinema,372234864,113,The Golden Compass,5.8,1303
Adventure,Drama,207000000,filmbusiness,screenplay,showbusiness,filmmaking,filmproducer,exoticisland,61.22601,WingNut Films,550000000,187,King Kong,6.6,2337
Drama,Romance,200000000,shipwreck,iceberg,ship,panic,titanic,oceanliner,100.025899,Paramount Pictures,1845034188,194,Titanic,7.5,7562
Adventure,Action,250000000,civilwar,war,marvelcomic,sequel,superhero,basedoncomicbook,198.372395,Studio Babelsberg,1153304495,147,Captain America: Civil War,7.1,7241
Thriller,Action,209000000,fight,u.s.navy,mindreading,hongkong,soccer,scientist,64.928382,Universal Pictures,303025485,131,Battleship,5.5,2114
Action,Adventure,150000000,monster,dna,tyrannosaurusrex,velociraptor,island,sequel,418.708552,Universal Studios,1513528810,124,Jurassic World,6.5,8662
Action,Adventure,200000000,spy,secretagent,sociopath,killer,artgallery,britishsecretservice,93.004993,Columbia Pictures,1108561013,143,Skyfall,6.9,7604
Action,Adventure,200000000,dualidentity,loveofone'slife,pizzaboy,marvelcomic,sequel,superhero,35.149586,Columbia Pictures,783766341,127,Spider-Man 2,6.7,4321
Action,Adventure,200000000,terrorist,waronterror,tennessee,malibu,marvelcomic,superhero,77.68208,Marvel Studios,1215439994,130,Iron Man 3,6.8,8806
Family,Fantasy,200000000,basedonnovel,fictionalplace,queen,fantasy,aliceinwonderland,fantasyworld,78.530105,Walt Disney Pictures,1025491110,108,Alice in Wonderland,6.4,4645
Adventure,Action,210000000,mutant,marvelcomic,basedoncomicbook,superhuman,beast,cyclops,3.857526,Ingenious Film Partners,459359555,104,X-Men: The Last Stand,6.3,3525
Animation,Family,200000000,monster,dormitory,games,animation,bestfriend,university,89.186492,Walt Disney Pictures,743559607,104,Monsters University,7,3528
Science Fiction,Action,150000000,egypt,sun,chaos,symbol,artifact,transformers,21.939663,Paramount Pictures,836297228,150,Transformers: Revenge of the Fallen,6,3138
Science Fiction,Action,210000000,sequel,alien,transformers,giantrobot,robot,imax,116.840296,Paramount Pictures,1091405097,165,Transformers: Age of Extinction,5.8,3095
Fantasy,Adventure,200000000,circus,witch,magic,hope,illusion,lost,46.985445,Walt Disney Pictures,491868548,130,Oz: The Great and Powerful,5.7,3530
Action,Adventure,200000000,obsession,marvelcomic,sequel,basedoncomicbook,electrocution,medicalexperiment,89.270217,Columbia Pictures,705717432,142,The Amazing Spider-Man 2,6.5,4179
